"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
"As a freshman senator, Bayh was assigned to the Public Works Committee and the Judiciary Committee."	Bayh was assigned to the Public Works Committee and the Judiciary Committee as a newcomer.			
"As a freshman senator, Bayh was assigned to the Public Works Committee and the Judiciary Committee."	"As a newcomer, Bayh was assigned to the Public Works Committee and the Judiciary Committee."			
"The municipality is divided into the barrios of Asunción, Isabel, Realengo and San José."	"The municipality is divided into Barrios Asunción, Isabel, Realengo and San José."			
"The municipality is divided into the barrios of San José, Isabel, Realengo and Asunción."	"The municipality is divided into the Barrios San José, Isabel, Realengo and Asunción."			
"It is a monotypic genus, containing the single species Ripexicium spinuliferum, found in the Solomon Islands."	"It is a monotypical genus containing the single species Ripexicium spinuliferum, found in the Solomon Islands."			
"Thimilarmadam is a small town in Sri Lanka, within Northern Province."	"Thimilarmadam is a small town in Sri Lanka, within the northern province."			
"Thimilarmadam is a small town in Northern Province, within Sri Lanka."	Thimilarmadam is a small town in Sri Lanka's northern province.			
Huracán beat Tigre in 1950 and then defeated Quilmes a year later.	Huracán beat Tigre in 1950 and then beat Quilmes a year later.			
"He coached for A.C. Milan, Ajax F.C. and Santos F.C. football academies."	"He trained for A.C. Milan, Ajax F.C. and Santos F.C. Football Academies."			
"Mount Sis has also a plateau which is called ""Sis Dağı Yaylası"" in Turkey."	"Mount Sis also has a plateau called ""Sis Dağı Yaylası"" in Turkey."			
"Mount Sis has also a plateau which is called ""Sis Dağı Yaylası"" in Turkey."	"Mount Sis also has a plateau called in Turkey ""Sis Dağı Yaylası""."			
"Mount Sis is also a plateau which has called ""Sis Dağı Yaylası"" in Turkey."	"Mount Sis is also a plateau which was called in Turkey ""Sis Dağı Yaylası""."			
"Mount Sis is also a plateau which has called ""Sis Dağı Yaylası"" in Turkey."	"Mount Sis is also a plateau that has called ""Sis Dağı Yaylası"" in Turkey."			
"He was born in New York City in East Broadway on October 23, 1806."	"He was born on 23 October 1806 in New York, East Broadway."			
"He was born in New York City in East Broadway on October 23, 1806."	"He was born on October 23, 1806 in New York, East Broadway."			
"He was born in East Broadway in New York City on October 23, 1806."	"He was born on 23 October 1806 in East Broadway, New York."			
"He was born in East Broadway in New York City on October 23, 1806."	"He was born on October 23, 1806 in East Broadway, New York."			
"Noted modern ney players include Niyazi Sayın, Akagündüz Kutbay, Sadreddin Özçimi, Kudsi Erguner, Süleyman Erguner (""torun"") and Münip Utandı."	"Well-known modern Ney players include Niyazi Sayın, Akagündüz Kutbay, Sadreddin Özçimi, Kudsi Erguner, Süleyman Erguner (""Torun""), and Münip Utandı."			
He also appeared in 53 games for the Greensboro Patriots (Piedmont League) with a 26 -- 19 record over the course of the 1928 and 1929 seasons.	He also appeared in 53 games for the Greensboro Patriots (Piedmont League) with a 26 - 19 record over the course of the seasons 1928 and 1929.			
He also appeared in 53 games for the Piedmont League (Greensboro Patriots) with a 26 -- 19 record over the course of the 1928 and 1929 seasons.	He also appeared in 53 games for the Piedmont League (Greensboro Patriots) with a 26 - 19 record over the course of the seasons 1928 and 1929.			
"Italy qualified for the 2009 European Baseball Championship from the 2007 competition. The other qualifiers were Netherlands, Sweden, Spain, Germany, France and Great Britain."	"Italy qualified for the Baseball - European Championship 2009 from the 2007 competition. The other qualifiers were Netherlands, Sweden, Spain, Germany, France and the UK."			
"Italy qualified for the 2009 European Baseball Championship from the 2007 competition. The other qualifiers were Netherlands, Sweden, Spain, Germany, France and Great Britain."	"Italy qualified from the 2007 competition for the Baseball - European Championship 2009.The other qualifiers were Netherlands, Sweden, Spain, Germany, France and Britain."			
"In ""The Promise of American Life"", Herbert Croly set out his argument for a liberal-progressive government in twentieth-century America."	"In ""The Promise of American Life"", Herbert Croly presented his argument for a liberal-progressive government in twentieth-century America."			
"As a graduate student Kaplan worked with Heinz Werner, and then collaborated further with Norman Geschwind and Harold Goodglass."	"As a PhD student, Kaplan collaborated with Heinz Werner and then worked with Norman Geschwind and Harold Goodglass."			
"On April 2, 2011 Ivy Vujic married Jenkins."	Ivy Vujic Jenkins was married on 2 April 2011.			
"On April 2, 2011 Ivy Vujic married Jenkins."	Ivy Vujic married Jenkins on 2 April 2011.			
"On April 2, 2011 Jenkins married Ivy Vujic."	Jenkins married Ivy Vujic on 2 April 2011.			
"On April 2, 2011 Jenkins married Ivy Vujic."	"On 2 April 2011, Jenkins married Ivy Vujic."			
"Shops in Matiari, Oderolal station, Tajpur, Allah Dino Saand and Shahpur Chakar remained closed out of respect."	"Shops in Matiari, Oderolal Station, Tajpur, Allah Dino Saand and Shahpur Chakar have been closed out of respect."			
"Shops in Matiari, Oderolal station, Tajpur, Allah Dino Saand and Shahpur Chakar remained closed out of respect."	"Shops in Matiari, station Oderolal, Tajpur, Allah Dino Saand and Shahpur Chakar remained closed out of respect."			
"In 1922, Sharett married Tzipora Meirov (12 August 1896 -- 30 September 1973) and had two sons and one daughter, Jacob, Yael and Chaim."	"In 1922, Sharett married Tzipora Meirov (12 August 1896 - 30 September 1973) and had two sons and one daughter, Jacob, Yael and Chaim."			
"In 1922, Sharett married Tzipora Meirov (12 August 1896 -- 30 September 1973) and had two sons and one daughter, Jacob, Yael and Chaim."	"In 1922, Sharett married Tzipora Meirov (August 12, 1896 - September 30, 1973) and had two sons and one daughter, Jacob, Yael and Chaim."			
"During the 1850s, missionaries were sent to Germany, Hawaii, France, Italy, Scandinavia, Switzerland, India, Chile and a number of other countries."	"In the 1850s, missionaries were sent to Germany, Hawaii, France, Italy, Scandinavia, Switzerland, India, Chile, and a number of other countries."			
In September 2009 Inner Ear released it as a limited edition LP (500 black vinyls and 500 red vinyls).	Inner Ear was released in September 2009 as Limited Edition LP (500 black vinyls and 500 red vinyls).			
The orbital data is consistent with the secondary component being either a red dwarf or a white dwarf star.	The orbital data are consistent with the secondary component either a red dwarf or a white dwarf star.			
The orbital data is consistent with the secondary component being either a white dwarf or a red dwarf star.	The orbital data is consistent with the secondary component of either a white dwarf or a red dwarf star.			
"Garcia appeared in his first concert at the age of nine, and since then he performed alone or with his aunt and uncle in all parts of France."	"At the age of nine, Garcia appeared in his first concert and has since appeared alone or with his aunt and uncle in all parts of France."			
"Garcia appeared in his first concert at the age of nine, and since then he performed alone or with his aunt and uncle in all parts of France."	"At the age of nine, Garcia appeared in his first concert and since then has appeared alone or with his aunt and his uncle in all parts of France."			
